排名,名称,链接,星级,评分,评价人数
166,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,4.5,8.8,460518
167,疯狂原始人,https://movie.douban.com/subject/1907966/,4.5,8.7,851982
168,心迷宫,https://movie.douban.com/subject/25917973/,4.5,8.7,534859
169,谍影重重3,https://movie.douban.com/subject/1578507/,4.5,8.8,426311
170,英雄本色,https://movie.douban.com/subject/1297574/,4.5,8.6,551573
171,上帝之城,https://movie.douban.com/subject/1292208/,4.5,9.0,305749
172,风之谷,https://movie.douban.com/subject/1291585/,4.5,8.9,360016
173,纵横四海,https://movie.douban.com/subject/1295409/,4.5,8.8,433833
174,卢旺达饭店,https://movie.douban.com/subject/1291822/,4.5,8.9,335969
175,海街日记,https://movie.douban.com/subject/25895901/,4.5,8.8,458245
176,爱在午夜降临前,https://movie.douban.com/subject/10808442/,4.5,8.9,412823
177,绿里奇迹,https://movie.douban.com/subject/1300374/,4.5,8.9,338811
178,小丑,https://movie.douban.com/subject/27119724/,4.5,8.7,1025243
179,记忆碎片,https://movie.douban.com/subject/1304447/,4.5,8.7,614576
180,疯狂的石头,https://movie.douban.com/subject/1862151/,4.5,8.6,838286
181,背靠背，脸对脸,https://movie.douban.com/subject/1307856/,5,9.5,139875
182,雨中曲,https://movie.douban.com/subject/1293460/,4.5,9.1,231861
183,心灵奇旅,https://movie.douban.com/subject/24733428/,4.5,8.7,1004807
184,2001太空漫游,https://movie.douban.com/subject/1292226/,4.5,8.9,339369
185,岁月神偷,https://movie.douban.com/subject/3792799/,4.5,8.7,580478
186,忠犬八公物语,https://movie.douban.com/subject/1959195/,4.5,9.2,199434
187,无间道2,https://movie.douban.com/subject/1307106/,4.5,8.7,490725
188,荒蛮故事,https://movie.douban.com/subject/24750126/,4.5,8.8,451407
189,小偷家族,https://movie.douban.com/subject/27622447/,4.5,8.7,823824
190,无敌破坏王,https://movie.douban.com/subject/6534248/,4.5,8.7,551073
191,爆裂鼓手,https://movie.douban.com/subject/25773932/,4.5,8.7,599967
192,冰川时代,https://movie.douban.com/subject/1291578/,4.5,8.6,626717
193,恐怖游轮,https://movie.douban.com/subject/3011051/,4.5,8.5,882933
194,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,4.5,8.6,755565
195,牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,4.5,8.9,309096
196,东邪西毒,https://movie.douban.com/subject/1292328/,4.5,8.6,585361
197,魔女宅急便,https://movie.douban.com/subject/1307811/,4.5,8.7,468739
198,遗愿清单,https://movie.douban.com/subject/1867345/,4.5,8.7,473112
199,东京教父,https://movie.douban.com/subject/1310177/,4.5,9.0,238152
200,大佛普拉斯,https://movie.douban.com/subject/27059130/,4.5,8.7,471664
201,你看起来好像很好吃,https://movie.douban.com/subject/4848115/,4.5,8.9,339371
202,可可西里,https://movie.douban.com/subject/1308857/,4.5,8.9,309307
203,真爱至上,https://movie.douban.com/subject/1292401/,4.5,8.6,741622
204,黑天鹅,https://movie.douban.com/subject/1978709/,4.5,8.6,789830
